Serie,Habitat,Site,Exposure,Depht,Transect,Quad,Subcategory,Cover
2216,Kelp,Los Molles,protected,deep,1,10,Tunicado,0
2217,Kelp,Los Molles,protected,deep,1,10,Peces,0
2218,Kelp,Los Molles,protected,deep,1,10,Shadow,2
2219,Kelp,Los Molles,protected,deep,1,10,Tape,0
2220,Kelp,Los Molles,protected,deep,1,10,Wand,0
2221,Kelp,Los Molles,protected,deep,2,1,Boulder,0
2222,Kelp,Los Molles,protected,deep,2,1,Conchuela,0
2223,Kelp,Los Molles,protected,deep,2,1,Rock,0
2224,Kelp,Los Molles,protected,deep,2,1,Rock,0
2225,Kelp,Los Molles,protected,deep,2,1,Rock,2.272727273
2226,Kelp,Los Molles,protected,deep,2,1,Rock,0
2227,Kelp,Los Molles,protected,deep,2,1,Sand,0
2228,Kelp,Los Molles,protected,deep,2,1,Corallina spp.,0
2229,Kelp,Los Molles,protected,deep,2,1,Crustosa verde,0
2230,Kelp,Los Molles,protected,deep,2,1,Gelidium spp.,0
2231,Kelp,Los Molles,protected,deep,2,1,Hildenbrandia,2.272727273
2232,Kelp,Los Molles,protected,deep,2,1,Algae indet,2.272727273
2233,Kelp,Los Molles,protected,deep,2,1,Lessonia,0
2234,Kelp,Los Molles,protected,deep,2,1,Lithothamnium,13.63636364
2235,Kelp,Los Molles,protected,deep,2,1,Filamentous,0
2236,Kelp,Los Molles,protected,deep,2,1,Filamentous,0
2237,Kelp,Los Molles,protected,deep,2,1,Ralfsia confusa,0
2238,Kelp,Los Molles,protected,deep,2,1,Lessonia skeleton,0
2239,Kelp,Los Molles,protected,deep,2,1,Anemona ,0
2240,Kelp,Los Molles,protected,deep,2,1,Calleporella,6.818181818
2241,Kelp,Los Molles,protected,deep,2,1,Chiton,0
2242,Kelp,Los Molles,protected,deep,2,1,Cirripedios,0
2243,Kelp,Los Molles,protected,deep,2,1,Crustaceo,0
2244,Kelp,Los Molles,protected,deep,2,1,Entalphora,29.54545455
2245,Kelp,Los Molles,protected,deep,2,1,Erizos,0
2246,Kelp,Los Molles,protected,deep,2,1,Estrella,0
2247,Kelp,Los Molles,protected,deep,2,1,Gastropodo,0
2248,Kelp,Los Molles,protected,deep,2,1,Heliaster helianthus,0
2249,Kelp,Los Molles,protected,deep,2,1,Hidrozoo,25
2250,Kelp,Los Molles,protected,deep,2,1,Opistobranchio,0
2251,Kelp,Los Molles,protected,deep,2,1,Sponge,18.18181818
2252,Kelp,Los Molles,protected,deep,2,1,Poliqueto,0
2253,Kelp,Los Molles,protected,deep,2,1,Tunicado,0
2254,Kelp,Los Molles,protected,deep,2,1,Peces,0
2255,Kelp,Los Molles,protected,deep,2,1,Shadow,12
2256,Kelp,Los Molles,protected,deep,2,1,Tape,0
2257,Kelp,Los Molles,protected,deep,2,1,Wand,0
2258,Kelp,Los Molles,protected,deep,2,2,Boulder,0
2259,Kelp,Los Molles,protected,deep,2,2,Conchuela,0
2260,Kelp,Los Molles,protected,deep,2,2,Rock,0
2261,Kelp,Los Molles,protected,deep,2,2,Rock,0
2262,Kelp,Los Molles,protected,deep,2,2,Rock,4.166666667
2263,Kelp,Los Molles,protected,deep,2,2,Rock,0
2264,Kelp,Los Molles,protected,deep,2,2,Sand,0
2265,Kelp,Los Molles,protected,deep,2,2,Corallina spp.,0
2266,Kelp,Los Molles,protected,deep,2,2,Crustosa verde,0
2267,Kelp,Los Molles,protected,deep,2,2,Gelidium spp.,0
2268,Kelp,Los Molles,protected,deep,2,2,Hildenbrandia,29.16666667
2269,Kelp,Los Molles,protected,deep,2,2,Algae indet,2.083333333
2270,Kelp,Los Molles,protected,deep,2,2,Lessonia,0
2271,Kelp,Los Molles,protected,deep,2,2,Lithothamnium,29.16666667
2272,Kelp,Los Molles,protected,deep,2,2,Filamentous,0
2273,Kelp,Los Molles,protected,deep,2,2,Filamentous,0
2274,Kelp,Los Molles,protected,deep,2,2,Ralfsia confusa,0
2275,Kelp,Los Molles,protected,deep,2,2,Lessonia skeleton,0
2276,Kelp,Los Molles,protected,deep,2,2,Anemona ,0
2277,Kelp,Los Molles,protected,deep,2,2,Calleporella,0
2278,Kelp,Los Molles,protected,deep,2,2,Chiton,0
2279,Kelp,Los Molles,protected,deep,2,2,Cirripedios,0
2280,Kelp,Los Molles,protected,deep,2,2,Crustaceo,0
2281,Kelp,Los Molles,protected,deep,2,2,Entalphora,25
2282,Kelp,Los Molles,protected,deep,2,2,Erizos,0
2283,Kelp,Los Molles,protected,deep,2,2,Estrella,0
2284,Kelp,Los Molles,protected,deep,2,2,Gastropodo,0
2285,Kelp,Los Molles,protected,deep,2,2,Heliaster helianthus,0
2286,Kelp,Los Molles,protected,deep,2,2,Hidrozoo,4.166666667
2287,Kelp,Los Molles,protected,deep,2,2,Opistobranchio,0
2288,Kelp,Los Molles,protected,deep,2,2,Sponge,6.25
2289,Kelp,Los Molles,protected,deep,2,2,Poliqueto,0
2290,Kelp,Los Molles,protected,deep,2,2,Tunicado,0
2291,Kelp,Los Molles,protected,deep,2,2,Peces,0
2292,Kelp,Los Molles,protected,deep,2,2,Shadow,2
2293,Kelp,Los Molles,protected,deep,2,2,Tape,2
2294,Kelp,Los Molles,protected,deep,2,2,Wand,0
2295,Kelp,Los Molles,protected,deep,2,3,Boulder,0
2296,Kelp,Los Molles,protected,deep,2,3,Conchuela,0
2297,Kelp,Los Molles,protected,deep,2,3,Rock,0
2298,Kelp,Los Molles,protected,deep,2,3,Rock,0
2299,Kelp,Los Molles,protected,deep,2,3,Rock,0
2300,Kelp,Los Molles,protected,deep,2,3,Rock,0
2301,Kelp,Los Molles,protected,deep,2,3,Sand,0
2302,Kelp,Los Molles,protected,deep,2,3,Corallina spp.,0
2303,Kelp,Los Molles,protected,deep,2,3,Crustosa verde,0
2304,Kelp,Los Molles,protected,deep,2,3,Gelidium spp.,0
2305,Kelp,Los Molles,protected,deep,2,3,Hildenbrandia,8.510638298
2306,Kelp,Los Molles,protected,deep,2,3,Algae indet,0
2307,Kelp,Los Molles,protected,deep,2,3,Lessonia,0
2308,Kelp,Los Molles,protected,deep,2,3,Lithothamnium,80.85106383
2309,Kelp,Los Molles,protected,deep,2,3,Filamentous,0
2310,Kelp,Los Molles,protected,deep,2,3,Filamentous,0
2311,Kelp,Los Molles,protected,deep,2,3,Ralfsia confusa,0
2312,Kelp,Los Molles,protected,deep,2,3,Lessonia skeleton,0
2313,Kelp,Los Molles,protected,deep,2,3,Anemona ,0
2314,Kelp,Los Molles,protected,deep,2,3,Calleporella,0
2315,Kelp,Los Molles,protected,deep,2,3,Chiton,0
2316,Kelp,Los Molles,protected,deep,2,3,Cirripedios,0
2317,Kelp,Los Molles,protected,deep,2,3,Crustaceo,0
2318,Kelp,Los Molles,protected,deep,2,3,Entalphora,2.127659574
2319,Kelp,Los Molles,protected,deep,2,3,Erizos,0
2320,Kelp,Los Molles,protected,deep,2,3,Estrella,0
2321,Kelp,Los Molles,protected,deep,2,3,Gastropodo,2.127659574
2322,Kelp,Los Molles,protected,deep,2,3,Heliaster helianthus,0
2323,Kelp,Los Molles,protected,deep,2,3,Hidrozoo,4.255319149
2324,Kelp,Los Molles,protected,deep,2,3,Opistobranchio,0
2325,Kelp,Los Molles,protected,deep,2,3,Sponge,2.127659574
2326,Kelp,Los Molles,protected,deep,2,3,Poliqueto,0
2327,Kelp,Los Molles,protected,deep,2,3,Tunicado,0
2328,Kelp,Los Molles,protected,deep,2,3,Peces,0
2329,Kelp,Los Molles,protected,deep,2,3,Shadow,4
2330,Kelp,Los Molles,protected,deep,2,3,Tape,2
2331,Kelp,Los Molles,protected,deep,2,3,Wand,0
2332,Kelp,Los Molles,protected,deep,2,4,Boulder,0
2333,Kelp,Los Molles,protected,deep,2,4,Conchuela,0
2334,Kelp,Los Molles,protected,deep,2,4,Rock,0
2335,Kelp,Los Molles,protected,deep,2,4,Rock,0
2336,Kelp,Los Molles,protected,deep,2,4,Rock,0
2337,Kelp,Los Molles,protected,deep,2,4,Rock,0
2338,Kelp,Los Molles,protected,deep,2,4,Sand,0
2339,Kelp,Los Molles,protected,deep,2,4,Corallina spp.,0
2340,Kelp,Los Molles,protected,deep,2,4,Crustosa verde,0
2341,Kelp,Los Molles,protected,deep,2,4,Gelidium spp.,0
2342,Kelp,Los Molles,protected,deep,2,4,Hildenbrandia,21.73913043
2343,Kelp,Los Molles,protected,deep,2,4,Algae indet,0
2344,Kelp,Los Molles,protected,deep,2,4,Lessonia,0
2345,Kelp,Los Molles,protected,deep,2,4,Lithothamnium,76.08695652
2346,Kelp,Los Molles,protected,deep,2,4,Filamentous,0
2347,Kelp,Los Molles,protected,deep,2,4,Filamentous,0
2348,Kelp,Los Molles,protected,deep,2,4,Ralfsia confusa,0
2349,Kelp,Los Molles,protected,deep,2,4,Lessonia skeleton,0
2350,Kelp,Los Molles,protected,deep,2,4,Anemona ,0
2351,Kelp,Los Molles,protected,deep,2,4,Calleporella,0
2352,Kelp,Los Molles,protected,deep,2,4,Chiton,0
2353,Kelp,Los Molles,protected,deep,2,4,Cirripedios,0
2354,Kelp,Los Molles,protected,deep,2,4,Crustaceo,2.173913043
2355,Kelp,Los Molles,protected,deep,2,4,Entalphora,0
2356,Kelp,Los Molles,protected,deep,2,4,Erizos,0
2357,Kelp,Los Molles,protected,deep,2,4,Estrella,0
2358,Kelp,Los Molles,protected,deep,2,4,Gastropodo,0
2359,Kelp,Los Molles,protected,deep,2,4,Heliaster helianthus,0
2360,Kelp,Los Molles,protected,deep,2,4,Hidrozoo,0
2361,Kelp,Los Molles,protected,deep,2,4,Opistobranchio,0
2362,Kelp,Los Molles,protected,deep,2,4,Sponge,0
2363,Kelp,Los Molles,protected,deep,2,4,Poliqueto,0
2364,Kelp,Los Molles,protected,deep,2,4,Tunicado,0
2365,Kelp,Los Molles,protected,deep,2,4,Peces,0
2366,Kelp,Los Molles,protected,deep,2,4,Shadow,8
2367,Kelp,Los Molles,protected,deep,2,4,Tape,0
2368,Kelp,Los Molles,protected,deep,2,4,Wand,0
2369,Kelp,Los Molles,protected,deep,2,5,Boulder,0
2370,Kelp,Los Molles,protected,deep,2,5,Conchuela,0
2371,Kelp,Los Molles,protected,deep,2,5,Rock,0
2372,Kelp,Los Molles,protected,deep,2,5,Rock,0
2373,Kelp,Los Molles,protected,deep,2,5,Rock,10.86956522
2374,Kelp,Los Molles,protected,deep,2,5,Rock,2.173913043
2375,Kelp,Los Molles,protected,deep,2,5,Sand,0
2376,Kelp,Los Molles,protected,deep,2,5,Corallina spp.,0
2377,Kelp,Los Molles,protected,deep,2,5,Crustosa verde,0
2378,Kelp,Los Molles,protected,deep,2,5,Gelidium spp.,0
2379,Kelp,Los Molles,protected,deep,2,5,Hildenbrandia,21.73913043
2380,Kelp,Los Molles,protected,deep,2,5,Algae indet,0
2381,Kelp,Los Molles,protected,deep,2,5,Lessonia,0
2382,Kelp,Los Molles,protected,deep,2,5,Lithothamnium,54.34782609
2383,Kelp,Los Molles,protected,deep,2,5,Filamentous,0
2384,Kelp,Los Molles,protected,deep,2,5,Filamentous,0
2385,Kelp,Los Molles,protected,deep,2,5,Ralfsia confusa,0
2386,Kelp,Los Molles,protected,deep,2,5,Lessonia skeleton,0
2387,Kelp,Los Molles,protected,deep,2,5,Anemona ,0
2388,Kelp,Los Molles,protected,deep,2,5,Calleporella,0
2389,Kelp,Los Molles,protected,deep,2,5,Chiton,0
2390,Kelp,Los Molles,protected,deep,2,5,Cirripedios,0
2391,Kelp,Los Molles,protected,deep,2,5,Crustaceo,0
2392,Kelp,Los Molles,protected,deep,2,5,Entalphora,6.52173913
2393,Kelp,Los Molles,protected,deep,2,5,Erizos,0
2394,Kelp,Los Molles,protected,deep,2,5,Estrella,0
2395,Kelp,Los Molles,protected,deep,2,5,Gastropodo,0
2396,Kelp,Los Molles,protected,deep,2,5,Heliaster helianthus,0
2397,Kelp,Los Molles,protected,deep,2,5,Hidrozoo,4.347826087
2398,Kelp,Los Molles,protected,deep,2,5,Opistobranchio,0
2399,Kelp,Los Molles,protected,deep,2,5,Sponge,0
2400,Kelp,Los Molles,protected,deep,2,5,Poliqueto,0
2401,Kelp,Los Molles,protected,deep,2,5,Tunicado,0
2402,Kelp,Los Molles,protected,deep,2,5,Peces,0
2403,Kelp,Los Molles,protected,deep,2,5,Shadow,8
2404,Kelp,Los Molles,protected,deep,2,5,Tape,0
2405,Kelp,Los Molles,protected,deep,2,5,Wand,0
2406,Kelp,Los Molles,protected,deep,2,6,Boulder,0
2407,Kelp,Los Molles,protected,deep,2,6,Conchuela,0
2408,Kelp,Los Molles,protected,deep,2,6,Rock,0
2409,Kelp,Los Molles,protected,deep,2,6,Rock,0
2410,Kelp,Los Molles,protected,deep,2,6,Rock,0
2411,Kelp,Los Molles,protected,deep,2,6,Rock,2.222222222
2412,Kelp,Los Molles,protected,deep,2,6,Sand,0
2413,Kelp,Los Molles,protected,deep,2,6,Corallina spp.,2.222222222
2414,Kelp,Los Molles,protected,deep,2,6,Crustosa verde,4.444444444
2415,Kelp,Los Molles,protected,deep,2,6,Gelidium spp.,0
2416,Kelp,Los Molles,protected,deep,2,6,Hildenbrandia,15.55555556
2417,Kelp,Los Molles,protected,deep,2,6,Algae indet,0
2418,Kelp,Los Molles,protected,deep,2,6,Lessonia,0
2419,Kelp,Los Molles,protected,deep,2,6,Lithothamnium,57.77777778
2420,Kelp,Los Molles,protected,deep,2,6,Filamentous,2.222222222
2421,Kelp,Los Molles,protected,deep,2,6,Filamentous,0
2422,Kelp,Los Molles,protected,deep,2,6,Ralfsia confusa,0
2423,Kelp,Los Molles,protected,deep,2,6,Lessonia skeleton,0
2424,Kelp,Los Molles,protected,deep,2,6,Anemona ,0
2425,Kelp,Los Molles,protected,deep,2,6,Calleporella,0
2426,Kelp,Los Molles,protected,deep,2,6,Chiton,0
2427,Kelp,Los Molles,protected,deep,2,6,Cirripedios,0
2428,Kelp,Los Molles,protected,deep,2,6,Crustaceo,0
2429,Kelp,Los Molles,protected,deep,2,6,Entalphora,4.444444444
2430,Kelp,Los Molles,protected,deep,2,6,Erizos,0
2431,Kelp,Los Molles,protected,deep,2,6,Estrella,0
2432,Kelp,Los Molles,protected,deep,2,6,Gastropodo,0
2433,Kelp,Los Molles,protected,deep,2,6,Heliaster helianthus,0
2434,Kelp,Los Molles,protected,deep,2,6,Hidrozoo,11.11111111
2435,Kelp,Los Molles,protected,deep,2,6,Opistobranchio,0
2436,Kelp,Los Molles,protected,deep,2,6,Sponge,0
2437,Kelp,Los Molles,protected,deep,2,6,Poliqueto,0
2438,Kelp,Los Molles,protected,deep,2,6,Tunicado,0
2439,Kelp,Los Molles,protected,deep,2,6,Peces,0
2440,Kelp,Los Molles,protected,deep,2,6,Shadow,10
2441,Kelp,Los Molles,protected,deep,2,6,Tape,0
2442,Kelp,Los Molles,protected,deep,2,6,Wand,0
2443,Kelp,Los Molles,protected,deep,2,7,Boulder,0
2444,Kelp,Los Molles,protected,deep,2,7,Conchuela,0
2445,Kelp,Los Molles,protected,deep,2,7,Rock,0
2446,Kelp,Los Molles,protected,deep,2,7,Rock,0
2447,Kelp,Los Molles,protected,deep,2,7,Rock,4.347826087
2448,Kelp,Los Molles,protected,deep,2,7,Rock,2.173913043
2449,Kelp,Los Molles,protected,deep,2,7,Sand,0
2450,Kelp,Los Molles,protected,deep,2,7,Corallina spp.,0
2451,Kelp,Los Molles,protected,deep,2,7,Crustosa verde,0
2452,Kelp,Los Molles,protected,deep,2,7,Gelidium spp.,0
2453,Kelp,Los Molles,protected,deep,2,7,Hildenbrandia,30.43478261
2454,Kelp,Los Molles,protected,deep,2,7,Algae indet,2.173913043
2455,Kelp,Los Molles,protected,deep,2,7,Lessonia,0
2456,Kelp,Los Molles,protected,deep,2,7,Lithothamnium,54.34782609
2457,Kelp,Los Molles,protected,deep,2,7,Filamentous,0
2458,Kelp,Los Molles,protected,deep,2,7,Filamentous,0
2459,Kelp,Los Molles,protected,deep,2,7,Ralfsia confusa,0
2460,Kelp,Los Molles,protected,deep,2,7,Lessonia skeleton,0
2461,Kelp,Los Molles,protected,deep,2,7,Anemona ,0
2462,Kelp,Los Molles,protected,deep,2,7,Calleporella,0
2463,Kelp,Los Molles,protected,deep,2,7,Chiton,0
2464,Kelp,Los Molles,protected,deep,2,7,Cirripedios,0
2465,Kelp,Los Molles,protected,deep,2,7,Crustaceo,0
2466,Kelp,Los Molles,protected,deep,2,7,Entalphora,6.52173913
2467,Kelp,Los Molles,protected,deep,2,7,Erizos,0
2468,Kelp,Los Molles,protected,deep,2,7,Estrella,0
2469,Kelp,Los Molles,protected,deep,2,7,Gastropodo,0
2470,Kelp,Los Molles,protected,deep,2,7,Heliaster helianthus,0
2471,Kelp,Los Molles,protected,deep,2,7,Hidrozoo,0
2472,Kelp,Los Molles,protected,deep,2,7,Opistobranchio,0
2473,Kelp,Los Molles,protected,deep,2,7,Sponge,0
2474,Kelp,Los Molles,protected,deep,2,7,Poliqueto,0
2475,Kelp,Los Molles,protected,deep,2,7,Tunicado,0
2476,Kelp,Los Molles,protected,deep,2,7,Peces,0
2477,Kelp,Los Molles,protected,deep,2,7,Shadow,8
2478,Kelp,Los Molles,protected,deep,2,7,Tape,0
2479,Kelp,Los Molles,protected,deep,2,7,Wand,0
2480,Kelp,Los Molles,protected,deep,2,8,Boulder,0
2481,Kelp,Los Molles,protected,deep,2,8,Conchuela,0
2482,Kelp,Los Molles,protected,deep,2,8,Rock,0
2483,Kelp,Los Molles,protected,deep,2,8,Rock,0
2484,Kelp,Los Molles,protected,deep,2,8,Rock,0
2485,Kelp,Los Molles,protected,deep,2,8,Rock,0
2486,Kelp,Los Molles,protected,deep,2,8,Sand,0
2487,Kelp,Los Molles,protected,deep,2,8,Corallina spp.,0
2488,Kelp,Los Molles,protected,deep,2,8,Crustosa verde,0
2489,Kelp,Los Molles,protected,deep,2,8,Gelidium spp.,0
2490,Kelp,Los Molles,protected,deep,2,8,Hildenbrandia,18.75
2491,Kelp,Los Molles,protected,deep,2,8,Algae indet,4.166666667
2492,Kelp,Los Molles,protected,deep,2,8,Lessonia,0
2493,Kelp,Los Molles,protected,deep,2,8,Lithothamnium,60.41666667
2494,Kelp,Los Molles,protected,deep,2,8,Filamentous,12.5
2495,Kelp,Los Molles,protected,deep,2,8,Filamentous,0
2496,Kelp,Los Molles,protected,deep,2,8,Ralfsia confusa,2.083333333
2497,Kelp,Los Molles,protected,deep,2,8,Lessonia skeleton,0
2498,Kelp,Los Molles,protected,deep,2,8,Anemona ,0
2499,Kelp,Los Molles,protected,deep,2,8,Calleporella,0
2500,Kelp,Los Molles,protected,deep,2,8,Chiton,0
2501,Kelp,Los Molles,protected,deep,2,8,Cirripedios,0
2502,Kelp,Los Molles,protected,deep,2,8,Crustaceo,0
2503,Kelp,Los Molles,protected,deep,2,8,Entalphora,0
2504,Kelp,Los Molles,protected,deep,2,8,Erizos,0
2505,Kelp,Los Molles,protected,deep,2,8,Estrella,0
2506,Kelp,Los Molles,protected,deep,2,8,Gastropodo,0
2507,Kelp,Los Molles,protected,deep,2,8,Heliaster helianthus,0
2508,Kelp,Los Molles,protected,deep,2,8,Hidrozoo,2.083333333
2509,Kelp,Los Molles,protected,deep,2,8,Opistobranchio,0
2510,Kelp,Los Molles,protected,deep,2,8,Sponge,0
2511,Kelp,Los Molles,protected,deep,2,8,Poliqueto,0
2512,Kelp,Los Molles,protected,deep,2,8,Tunicado,0
2513,Kelp,Los Molles,protected,deep,2,8,Peces,0
2514,Kelp,Los Molles,protected,deep,2,8,Shadow,4
2515,Kelp,Los Molles,protected,deep,2,8,Tape,0
2516,Kelp,Los Molles,protected,deep,2,8,Wand,0
2517,Kelp,Los Molles,protected,deep,2,9,Boulder,0
2518,Kelp,Los Molles,protected,deep,2,9,Conchuela,0
2519,Kelp,Los Molles,protected,deep,2,9,Rock,0
2520,Kelp,Los Molles,protected,deep,2,9,Rock,0
2521,Kelp,Los Molles,protected,deep,2,9,Rock,0
2522,Kelp,Los Molles,protected,deep,2,9,Rock,0
2523,Kelp,Los Molles,protected,deep,2,9,Sand,0
2524,Kelp,Los Molles,protected,deep,2,9,Corallina spp.,0
2525,Kelp,Los Molles,protected,deep,2,9,Crustosa verde,0
2526,Kelp,Los Molles,protected,deep,2,9,Gelidium spp.,0
2527,Kelp,Los Molles,protected,deep,2,9,Hildenbrandia,10.41666667
2528,Kelp,Los Molles,protected,deep,2,9,Algae indet,2.083333333
2529,Kelp,Los Molles,protected,deep,2,9,Lessonia,0
2530,Kelp,Los Molles,protected,deep,2,9,Lithothamnium,66.66666667
2531,Kelp,Los Molles,protected,deep,2,9,Filamentous,0
2532,Kelp,Los Molles,protected,deep,2,9,Filamentous,0
2533,Kelp,Los Molles,protected,deep,2,9,Ralfsia confusa,0
2534,Kelp,Los Molles,protected,deep,2,9,Lessonia skeleton,0
2535,Kelp,Los Molles,protected,deep,2,9,Anemona ,0
2536,Kelp,Los Molles,protected,deep,2,9,Calleporella,0
2537,Kelp,Los Molles,protected,deep,2,9,Chiton,0
2538,Kelp,Los Molles,protected,deep,2,9,Cirripedios,0
2539,Kelp,Los Molles,protected,deep,2,9,Crustaceo,0
2540,Kelp,Los Molles,protected,deep,2,9,Entalphora,0
2541,Kelp,Los Molles,protected,deep,2,9,Erizos,0
2542,Kelp,Los Molles,protected,deep,2,9,Estrella,0
2543,Kelp,Los Molles,protected,deep,2,9,Gastropodo,0
2544,Kelp,Los Molles,protected,deep,2,9,Heliaster helianthus,0
2545,Kelp,Los Molles,protected,deep,2,9,Hidrozoo,20.83333333
2546,Kelp,Los Molles,protected,deep,2,9,Opistobranchio,0
2547,Kelp,Los Molles,protected,deep,2,9,Sponge,0
2548,Kelp,Los Molles,protected,deep,2,9,Poliqueto,0
2549,Kelp,Los Molles,protected,deep,2,9,Tunicado,0
2550,Kelp,Los Molles,protected,deep,2,9,Peces,0
2551,Kelp,Los Molles,protected,deep,2,9,Shadow,2
2552,Kelp,Los Molles,protected,deep,2,9,Tape,2
2553,Kelp,Los Molles,protected,deep,2,9,Wand,0
2554,Kelp,Los Molles,protected,deep,2,10,Boulder,0
2555,Kelp,Los Molles,protected,deep,2,10,Conchuela,0
2556,Kelp,Los Molles,protected,deep,2,10,Rock,0
2557,Kelp,Los Molles,protected,deep,2,10,Rock,0
2558,Kelp,Los Molles,protected,deep,2,10,Rock,2.43902439
2559,Kelp,Los Molles,protected,deep,2,10,Rock,2.43902439
2560,Kelp,Los Molles,protected,deep,2,10,Sand,0
2561,Kelp,Los Molles,protected,deep,2,10,Corallina spp.,0
2562,Kelp,Los Molles,protected,deep,2,10,Crustosa verde,0
2563,Kelp,Los Molles,protected,deep,2,10,Gelidium spp.,0
2564,Kelp,Los Molles,protected,deep,2,10,Hildenbrandia,2.43902439
2565,Kelp,Los Molles,protected,deep,2,10,Algae indet,0
2566,Kelp,Los Molles,protected,deep,2,10,Lessonia,0
2567,Kelp,Los Molles,protected,deep,2,10,Lithothamnium,75.6097561
2568,Kelp,Los Molles,protected,deep,2,10,Filamentous,0
2569,Kelp,Los Molles,protected,deep,2,10,Filamentous,0
2570,Kelp,Los Molles,protected,deep,2,10,Ralfsia confusa,0
2571,Kelp,Los Molles,protected,deep,2,10,Lessonia skeleton,0
2572,Kelp,Los Molles,protected,deep,2,10,Anemona ,0
2573,Kelp,Los Molles,protected,deep,2,10,Calleporella,0
2574,Kelp,Los Molles,protected,deep,2,10,Chiton,0
2575,Kelp,Los Molles,protected,deep,2,10,Cirripedios,0
2576,Kelp,Los Molles,protected,deep,2,10,Crustaceo,0
2577,Kelp,Los Molles,protected,deep,2,10,Entalphora,2.43902439
2578,Kelp,Los Molles,protected,deep,2,10,Erizos,0
2579,Kelp,Los Molles,protected,deep,2,10,Estrella,0
2580,Kelp,Los Molles,protected,deep,2,10,Gastropodo,2.43902439
2581,Kelp,Los Molles,protected,deep,2,10,Heliaster helianthus,0
2582,Kelp,Los Molles,protected,deep,2,10,Hidrozoo,12.19512195
2583,Kelp,Los Molles,protected,deep,2,10,Opistobranchio,0
2584,Kelp,Los Molles,protected,deep,2,10,Sponge,0
2585,Kelp,Los Molles,protected,deep,2,10,Poliqueto,0
2586,Kelp,Los Molles,protected,deep,2,10,Tunicado,0
2587,Kelp,Los Molles,protected,deep,2,10,Peces,0
2588,Kelp,Los Molles,protected,deep,2,10,Shadow,16
2589,Kelp,Los Molles,protected,deep,2,10,Tape,2
2590,Kelp,Los Molles,protected,deep,2,10,Wand,0
2591,Kelp,Los Molles,protected,deep,3,1,Boulder,0
2592,Kelp,Los Molles,protected,deep,3,1,Conchuela,0
2593,Kelp,Los Molles,protected,deep,3,1,Rock,0
2594,Kelp,Los Molles,protected,deep,3,1,Rock,7.5
2595,Kelp,Los Molles,protected,deep,3,1,Rock,10
2596,Kelp,Los Molles,protected,deep,3,1,Rock,12.5
2597,Kelp,Los Molles,protected,deep,3,1,Sand,0
2598,Kelp,Los Molles,protected,deep,3,1,Corallina spp.,0
2599,Kelp,Los Molles,protected,deep,3,1,Crustosa verde,0
2600,Kelp,Los Molles,protected,deep,3,1,Gelidium spp.,0
2601,Kelp,Los Molles,protected,deep,3,1,Hildenbrandia,10
2602,Kelp,Los Molles,protected,deep,3,1,Algae indet,5
2603,Kelp,Los Molles,protected,deep,3,1,Lessonia,0
2604,Kelp,Los Molles,protected,deep,3,1,Lithothamnium,40
2605,Kelp,Los Molles,protected,deep,3,1,Filamentous,2.5
2606,Kelp,Los Molles,protected,deep,3,1,Filamentous,0
2607,Kelp,Los Molles,protected,deep,3,1,Ralfsia confusa,0
2608,Kelp,Los Molles,protected,deep,3,1,Lessonia skeleton,0
2609,Kelp,Los Molles,protected,deep,3,1,Anemona ,0
2610,Kelp,Los Molles,protected,deep,3,1,Calleporella,0
2611,Kelp,Los Molles,protected,deep,3,1,Chiton,0
2612,Kelp,Los Molles,protected,deep,3,1,Cirripedios,0
2613,Kelp,Los Molles,protected,deep,3,1,Crustaceo,0
2614,Kelp,Los Molles,protected,deep,3,1,Entalphora,0
2615,Kelp,Los Molles,protected,deep,3,1,Erizos,0
2616,Kelp,Los Molles,protected,deep,3,1,Estrella,0
2617,Kelp,Los Molles,protected,deep,3,1,Gastropodo,2.5
2618,Kelp,Los Molles,protected,deep,3,1,Heliaster helianthus,0
2619,Kelp,Los Molles,protected,deep,3,1,Hidrozoo,10
2620,Kelp,Los Molles,protected,deep,3,1,Opistobranchio,0
2621,Kelp,Los Molles,protected,deep,3,1,Sponge,0
2622,Kelp,Los Molles,protected,deep,3,1,Poliqueto,0
2623,Kelp,Los Molles,protected,deep,3,1,Tunicado,0
2624,Kelp,Los Molles,protected,deep,3,1,Peces,0
2625,Kelp,Los Molles,protected,deep,3,1,Shadow,20
2626,Kelp,Los Molles,protected,deep,3,1,Tape,0
2627,Kelp,Los Molles,protected,deep,3,1,Wand,0
2628,Kelp,Los Molles,protected,deep,3,2,Boulder,0
2629,Kelp,Los Molles,protected,deep,3,2,Conchuela,0
2630,Kelp,Los Molles,protected,deep,3,2,Rock,0
2631,Kelp,Los Molles,protected,deep,3,2,Rock,2.272727273
2632,Kelp,Los Molles,protected,deep,3,2,Rock,4.545454545
2633,Kelp,Los Molles,protected,deep,3,2,Rock,15.90909091
2634,Kelp,Los Molles,protected,deep,3,2,Sand,0
2635,Kelp,Los Molles,protected,deep,3,2,Corallina spp.,0
2636,Kelp,Los Molles,protected,deep,3,2,Crustosa verde,0
2637,Kelp,Los Molles,protected,deep,3,2,Gelidium spp.,0
2638,Kelp,Los Molles,protected,deep,3,2,Hildenbrandia,15.90909091
2639,Kelp,Los Molles,protected,deep,3,2,Algae indet,2.272727273
2640,Kelp,Los Molles,protected,deep,3,2,Lessonia,0
